number of bathrooms,living area,number of floors,waterfront present,number of views,grade of the house,Area of the basement,living_area_renov
2.5,3650,2.0,0,4,10,280,2880
2.5,2920,1.5,0,0,8,1010,2470
2.75,2910,1.5,0,0,8,0,2940
2.5,3310,2.0,0,0,9,0,3350
2.0,2710,1.5,0,0,8,830,2060
2.5,2600,1.0,0,0,9,900,2380
3.25,3660,2.0,0,2,10,0,3320
1.75,2240,2.0,0,0,8,690,1570
2.5,2390,1.0,0,2,8,950,2010
2.25,2200,1.5,0,0,7,900,2320
2.5,2820,2.0,0,0,8,0,2820
2.0,1820,1.5,0,1,7,180,2060
2.0,1520,1.5,0,0,7,0,1910
2.75,2710,2.0,0,0,9,0,2390
2.25,1750,2.5,0,0,9,280,2410
2.5,2820,2.0,0,0,9,0,1300
3.25,2730,1.0,0,0,9,1170,2730
1.75,2360,1.0,0,0,8,1000,1860
2.5,2730,2.0,0,0,9,0,2730
2.5,3240,2.0,0,2,10,0,4050
1.75,2330,1.0,0,0,8,360,2570
2.5,3310,2.0,0,0,8,0,2380
2.5,1940,1.0,0,0,7,800,2200
1.75,2910,1.5,0,0,8,0,2590
2.5,2860,2.0,0,0,8,670,2860
1.75,1600,1.0,0,0,8,470,1090
1.75,2190,1.0,0,2,9,0,3000
1.0,880,1.0,0,0,7,0,1340
2.5,2710,2.0,0,0,9,0,2780
2.5,2210,1.0,0,0,8,750,2080
1.75,1710,1.0,0,0,7,0,2260
2.5,2680,2.0,0,0,8,0,2990
2.5,2430,1.0,0,0,7,860,1560
2.5,1270,3.0,0,0,8,0,1320
2.25,2160,1.0,0,0,8,1080,1850
1.0,800,1.0,0,0,7,0,1150
2.5,1770,2.0,0,0,8,0,1770
2.25,1970,2.0,0,0,9,0,2340
2.5,1770,3.0,0,0,8,170,1680
1.0,1450,1.0,0,0,7,0,1260
1.5,1920,1.0,0,0,7,850,1450
2.25,2000,1.0,0,0,8,1000,2070
1.5,1570,1.0,0,0,7,0,1570
2.5,1930,2.0,0,0,8,0,2290
2.0,1960,1.0,0,2,8,310,1960
2.5,3630,1.5,0,0,9,1330,2830
3.25,1320,2.0,0,0,8,280,1440
1.75,1560,1.0,0,0,7,0,2080
3.0,3110,2.0,0,0,8,0,2820
1.0,1090,1.0,0,0,7,0,1340
2.0,1930,1.0,0,0,8,0,2200
2.0,1350,1.0,0,0,8,0,1790
2.25,1580,1.0,0,0,7,0,1450
1.0,1160,1.0,0,0,7,0,1160
1.5,1340,1.5,0,0,7,0,1480
1.0,850,1.0,0,0,7,0,1100
2.5,2540,2.0,0,0,7,0,2280
2.5,1630,2.0,0,0,7,350,1590
3.0,1850,1.0,0,0,7,760,1410
2.5,2200,2.0,0,0,8,0,2310
2.5,2090,1.0,0,0,8,730,1750
1.75,1800,1.0,0,0,7,0,1410
1.5,1180,1.0,0,0,6,0,1680
2.0,1480,1.0,0,0,7,0,2130
1.75,1370,1.0,0,0,7,0,1400
1.5,1200,1.0,0,0,7,0,1380
1.0,1210,1.0,0,0,6,0,1580
2.75,2920,2.0,0,0,8,0,3030
1.0,900,1.0,0,0,7,0,1280
2.5,1650,1.0,0,0,7,520,1940
1.0,1010,1.0,0,0,6,0,1390
2.5,2850,2.0,0,0,10,860,2280
2.5,2680,1.0,0,0,9,0,2315
2.0,2280,1.0,0,0,7,1140,2240
2.5,2200,1.0,0,0,8,630,2350
2.5,2530,2.0,0,2,8,520,2140
8.0,13540,3.0,0,4,12,4130,4850
2.5,2220,2.0,0,0,9,0,1870
3.5,4010,2.0,0,1,9,1160,2610
2.5,4340,2.5,0,0,11,0,2720
2.75,3190,1.0,0,3,9,1500,3100
1.0,1330,1.0,0,0,7,0,1340
4.25,4420,2.0,0,0,10,1010,4420
3.5,4490,2.0,0,0,10,1290,4530
3.0,3690,2.0,0,0,10,0,3430
2.75,2600,1.0,0,0,8,1300,2550
3.0,2170,2.0,0,0,9,560,1670
2.5,3400,2.0,0,0,9,0,3070
1.75,2920,2.5,0,0,9,140,2020
